
. Module name, SLE, CFG, ARI1, BUFFER, MACC_PA, RAM1K20, RAM64X12, GLOBAL, IO
.	.	.	.	.	.	. PROC_SUBSYSTEM_CORERISCV_AXI4_0_CORERISCV_AXI4_NASTI_IO_TILE_LINK_IO_CONVERTER, 15, 91, 0, 0, 0, 0, 1, 0, 0
.	.	.	.	.	.	.	. PROC_SUBSYSTEM_CORERISCV_AXI4_0_CORERISCV_AXI4_LOCKING_ARBITER, 3, 16, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	. PROC_SUBSYSTEM_CORERISCV_AXI4_0_CORERISCV_AXI4_REORDER_QUEUE_2, 2, 18, 0, 0, 0, 0, 1, 0, 0
.	.	.	.	.	.	. PROC_SUBSYSTEM_CORERISCV_AXI4_0_CORERISCV_AXI4_PORTED_TILE_LINK_CROSSBAR, 150, 435, 0, 0, 0, 0, 24, 0, 0
.	.	.	.	.	.	.	. PROC_SUBSYSTEM_CORERISCV_AXI4_0_CORERISCV_AXI4_BASIC_BUS, 7, 110, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	.	. PROC_SUBSYSTEM_CORERISCV_AXI4_0_CORERISCV_AXI4_LOCKING_RR_ARBITER, 7, 106, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	. PROC_SUBSYSTEM_CORERISCV_AXI4_0_CORERISCV_AXI4_BASIC_BUS_1, 7, 26, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	.	. PROC_SUBSYSTEM_CORERISCV_AXI4_0_CORERISCV_AXI4_LOCKING_RR_ARBITER_1, 7, 25, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	. PROC_SUBSYSTEM_CORERISCV_AXI4_0_CORERISCV_AXI4_BASIC_BUS_3, 7, 233, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	.	. PROC_SUBSYSTEM_CORERISCV_AXI4_0_CORERISCV_AXI4_LOCKING_RR_ARBITER_3, 7, 232, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	. PROC_SUBSYSTEM_CORERISCV_AXI4_0_CORERISCV_AXI4_BASIC_BUS_4, 2, 10, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	.	. PROC_SUBSYSTEM_CORERISCV_AXI4_0_CORERISCV_AXI4_LOCKING_RR_ARBITER_4, 2, 9, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	. PROC_SUBSYSTEM_CORERISCV_AXI4_0_CORERISCV_AXI4_CLIENT_TILE_LINK_NETWORK_PORT, 0, 2, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	. PROC_SUBSYSTEM_CORERISCV_AXI4_0_CORERISCV_AXI4_CLIENT_UNCACHED_TILE_LINK_NETWORK_PORT, 12, 20, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	.	. PROC_SUBSYSTEM_CORERISCV_AXI4_0_CORERISCV_AXI4_FINISH_UNIT, 12, 19, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	.	.	. PROC_SUBSYSTEM_CORERISCV_AXI4_0_CORERISCV_AXI4_FINISH_QUEUE_1, 9, 8, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	. PROC_SUBSYSTEM_CORERISCV_AXI4_0_CORERISCV_AXI4_TILE_LINK_ENQUEUER, 83, 20, 0, 0, 0, 0, 17, 0, 0
.	.	.	.	.	.	.	.	. PROC_SUBSYSTEM_CORERISCV_AXI4_0_CORERISCV_AXI4_QUEUE_0, 77, 2, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	.	. PROC_SUBSYSTEM_CORERISCV_AXI4_0_CORERISCV_AXI4_QUEUE_2_0, 3, 11, 0, 0, 0, 0, 10, 0, 0
.	.	.	.	.	.	.	.	. PROC_SUBSYSTEM_CORERISCV_AXI4_0_CORERISCV_AXI4_QUEUE_3_0, 3, 7, 0, 0, 0, 0, 7, 0, 0
.	.	.	.	.	.	.	. PROC_SUBSYSTEM_CORERISCV_AXI4_0_CORERISCV_AXI4_TILE_LINK_ENQUEUER_1, 32, 14, 0, 0, 0, 0, 7, 0, 0
.	.	.	.	.	.	.	.	. PROC_SUBSYSTEM_CORERISCV_AXI4_0_CORERISCV_AXI4_QUEUE_1, 28, 4, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	.	. PROC_SUBSYSTEM_CORERISCV_AXI4_0_CORERISCV_AXI4_QUEUE_2_1, 1, 3, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	.	. PROC_SUBSYSTEM_CORERISCV_AXI4_0_CORERISCV_AXI4_QUEUE_3_1, 3, 7, 0, 0, 0, 0, 7, 0, 0
.	.	.	.	.	.	. PROC_SUBSYSTEM_CORERISCV_AXI4_0_CORERISCV_AXI4_QUEUE_10, 37, 6, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. PROC_SUBSYSTEM_CORERISCV_AXI4_0_CORERISCV_AXI4_QUEUE_10_0, 34, 5, 0, 0, 0, 0, 0, 0, 0
